BALLOT_NUMBER,DATE&TIME,ASSEMBLY_NUMBER,EVM_NUMBER,OPTION_CHOOSE_BALLOT
4447684,sdingate0@yolasite.com,6659459869,sy90728,4964840712
1908600,ptowers1@eventbrite.com,8801617651,kr58275,6566920531
5648851,dnaisbitt2@bloomberg.com,6012592146,zd26841,9459650085
3307090,kstairs3@umich.edu,8768248866,kc80647,5958600829
6946793,mshirland4@about.com,1854554196,uM49366,6162447863
6615279,tblaymires5@harvard.edu,8455460111,hG17332,6158338272
7529446,glally6@latimes.com,9862846120,v339134,1879769751
2873340,sbonsall7@freewebs.com,8080639609,0r82644,5414166396
1419559,dpellant8@npr.org,7556218061,S951445,1625536569
5608700,dmcloughlin9@360.cn,9084741987,0E04166,9480856650
1326215,dladdsa@ft.com,3205252147,Eh16328,2002270937
7711822,rklaisb@csmonitor.com,9824016289,dX73956,8382002687
5552330,sroggieric@unblog.fr,4896768894,dO38421,2852541810
8938685,stroubridged@edublogs.org,2762879436,LF29835,6271104095
4452277,predhollse@time.com,8151575700,ys93371,3147879720
